unitid,insname,city,state,lat,long
237057,Whitman College,Walla Walla,Washington,46.07135,-118.33016
238333,Beloit College,Beloit,Wisconsin,42.50363,-89.03147
239017,Lawrence University,Appleton,Wisconsin,44.261323,-88.397822
239628,Ripon College,Ripon,Wisconsin,43.842383,-88.8426
239716,Saint Norbert College,De Pere,Wisconsin,44.444651,-88.067301
240444,University of Wisconsin-Madison,Madison,Wisconsin,43.073858,-89.405356
243744,Stanford University,Stanford,California,37.431746,-122.182212
243780,Purdue University-Main Campus,West Lafayette,Indiana,40.428206,-86.914435
245652,St John's College,Santa Fe,New Mexico,35.666789,-105.912226
166027,Harvard University,Cambridge,Massachusetts,42.38000488,-71.13289642
104179,University of Arizona,Tucson,Arizona,32.2317,-110.9519
